"p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
8.37018677989175e-15,-0.524752675417688,0.011,0.145,2.05504825819902e-10
8.88947590008952e-15,-0.587727888399006,0.053,0.327,2.18254412298998e-10
9.51929951918423e-15,-0.479162539922089,0.008,0.127,2.33717841795011e-10
1.42749633550807e-14,-0.720175400562991,0.044,0.291,3.50478900293941e-10
1.45281756076725e-14,-0.678398619085083,0.06,0.345,3.56695767519574e-10
2.02506478792609e-14,-0.611040693724591,0.156,0.618,4.97193906731614e-10
2.16071242613564e-14,-0.36388588696804,0.001,0.055,5.30498114864823e-10
2.2207630438719e-14,-0.233240740566466,0.001,0.055,5.45241742531428e-10
2.2207630438719e-14,-0.292941081834274,0.001,0.055,5.45241742531428e-10
2.78845653658516e-14,-0.833830865809247,0.181,0.655,6.84621848862387e-10
3.55918108344427e-14,-0.562621118019945,0.045,0.291,8.73850139607238e-10
3.6614185316159e-14,-0.308767356666157,0.002,0.073,8.98951477882336e-10
3.70803294595921e-14,-0.652857240828662,0.051,0.309,9.10396248891906e-10
3.84587138346517e-14,-0.667048590214256,0.062,0.345,9.44238342068367e-10
4.97004446154568e-14,-0.748179293901684,0.246,0.8,1.22024531619870e-09
5.1950050007666e-14,-0.505084632353584,0.027,0.218,1.27547762778821e-09
5.29580239410113e-14,-0.548221817778304,0.062,0.345,1.30022540379971e-09
7.47566151615408e-14,-0.986803643294342,0.184,0.636,1.83542441544615e-09
7.5578221899355e-14,-0.713166850483265,0.047,0.291,1.85559650407296e-09
8.0169011436589e-14,-0.55964504241794,0.104,0.473,1.96830956879113e-09
8.29069355492634e-14,-0.943878298047095,0.111,0.473,2.03553108160552e-09
9.54372087484683e-14,-0.605881569101128,0.023,0.2,2.34317434919239e-09
1.07726159119698e-13,-0.517922818178247,0.023,0.2,2.64489265870684e-09
1.11675977959122e-13,-0.552203039096201,0.063,0.345,2.74186861085235e-09
1.18124928602407e-13,-0.869438107125208,0.346,0.909,2.90020324704629e-09
1.23311020461929e-13,-0.377237759355794,0.004,0.091,3.02753217438129e-09
1.32487261641855e-13,-0.549772572636586,0.016,0.164,3.25282724783082e-09
1.39892131806213e-13,-0.598358379959149,0.118,0.509,3.43463162010614e-09
1.45791955348398e-13,-0.61881452603089,0.047,0.291,3.57948408771386e-09
1.54182216866017e-13,-0.486349718037119,0.016,0.164,3.78548178849445e-09
2.09179044082083e-13,-1.13995424939208,0.136,0.527,5.13576389030331e-09
2.21398323824e-13,-0.75450272070667,0.09,0.418,5.43577164652685e-09
2.41050788283732e-13,-0.606143863881006,0.024,0.2,5.9182789539422e-09
2.9204424803656e-13,-0.709057773195641,0.054,0.309,7.17027037779363e-09
3.07092816394419e-13,-0.172520778063025,0,0.036,7.53974282811576e-09
3.07092816394419e-13,-0.190761397184238,0,0.036,7.53974282811576e-09
3.07092816394419e-13,-0.102460218520342,0,0.036,7.53974282811576e-09
3.07092816394419e-13,-0.166020134571391,0,0.036,7.53974282811576e-09
3.07092816394419e-13,-0.208313552394251,0,0.036,7.53974282811576e-09
3.07092816394419e-13,-0.139049783685234,0,0.036,7.53974282811576e-09
3.07092816394419e-13,-0.135537087101908,0,0.036,7.53974282811576e-09
3.07092816394419e-13,-0.152716058211144,0,0.036,7.53974282811576e-09
3.07092816394419e-13,-0.206911047425196,0,0.036,7.53974282811576e-09
3.07092816394419e-13,-0.157607616426255,0,0.036,7.53974282811576e-09
3.07092816394419e-13,-0.164799786546044,0,0.036,7.53974282811576e-09
3.07092816394419e-13,-0.145035916355817,0,0.036,7.53974282811576e-09
3.07092816394419e-13,-0.118676554850896,0,0.036,7.53974282811576e-09
3.07092816394419e-13,-0.13457347871091,0,0.036,7.53974282811576e-09
3.07092816394419e-13,-0.176990800531005,0,0.036,7.53974282811576e-09
3.07092816394419e-13,-0.154878425172682,0,0.036,7.53974282811576e-09
3.07092816394419e-13,-0.156239970162826,0,0.036,7.53974282811576e-09
3.32534620799159e-13,-0.461097539192644,0.024,0.2,8.16439000986096e-09
3.38388494111395e-13,-0.712470098630385,0.084,0.4,8.30811430742297e-09
3.39161307683836e-13,-0.71481708152708,0.066,0.345,8.32708842625353e-09
3.78864993023379e-13,0.123136837306694,0.975,0.818,9.30189330871001e-09
3.98294854850876e-13,-0.366520094086388,0.01,0.127,9.7789352762987e-09
4.13446031611683e-13,-0.623594898664773,0.09,0.418,1.01509269681301e-08
4.32981892857611e-13,-0.685218180175241,0.097,0.436,1.06305714334401e-08
4.54421453846892e-13,-0.798979863756224,0.073,0.364,1.11569555348489e-08
4.74329218109969e-13,-0.321706723939808,0.007,0.109,1.1645730963036e-08
4.76935119198601e-13,-0.650203489172941,0.155,0.582,1.1709711046564e-08
5.15413934765461e-13,-0.585167312914973,0.078,0.382,1.26544429263616e-08
5.15814581856843e-13,-0.402823305896228,0.016,0.164,1.26642796137492e-08
5.24702466353224e-13,-0.792062816525808,0.085,0.4,1.28824949539044e-08
6.35550312509882e-13,-0.648565583484739,0.034,0.236,1.56040312727426e-08
6.50854612750437e-13,-0.44518203073799,0.025,0.2,1.59797824522487e-08
7.64242307049883e-13,-0.54049820701493,0.039,0.255,1.87636771226887e-08
7.67092141943855e-13,-0.557204101286834,0.044,0.273,1.88336462690055e-08
7.76499362864181e-13,-0.721897741282416,0.08,0.382,1.90646123570414e-08
